id,name,description,year,term,teacher_id,min_grade,max_grade,max_students,period,fee,mendatory,enrolled_number,min_korean_level,max_korean_level,display_order
1,유치부 JK반,유치부 JK반,2025,fall,5,-2,-2,10,1,80.0,1,0,1,12,99
6,유치부 JK반,유치부 JK반,2025,fall,3,-2,-2,10,2,80.0,1,0,1,12,99
7,유치부 JK반,유치부 JK반,2025,fall,3,-2,-2,10,3,80.0,1,0,1,12,99
8,유치부 SK반,유치부 SK반,2025,fall,3,-1,-1,10,1,80.0,1,0,1,12,100
9,유치부 SK반,유치부 SK반,2025,fall,3,-1,-1,10,2,80.0,1,0,1,12,100
10,유치부 SK반,유치부 SK반,2025,fall,3,-1,-1,10,3,80.0,1,0,1,12,100
11,한글초급,한글초급,2025,fall,8,1,5,10,1,80.0,1,0,1,5,1
12,한글초급,한글초급,2025,fall,8,1,5,10,2,80.0,1,0,1,5,1
13,한글초급,한글초급,2025,fall,8,1,5,10,3,80.0,1,0,1,5,1
14,한글초급집중반,한글초급집중반,2025,fall,11,1,5,10,1,80.0,1,0,1,5,5
15,한글초급집중반,한글초급집중반,2025,fall,11,1,5,10,2,80.0,1,0,1,5,5
17,한글중급,한글중급,2025,fall,7,1,7,10,1,80.0,1,0,5,8,2
18,한글중급,한글중급,2025,fall,7,1,7,10,2,80.0,1,5,5,8,2
19,한글중급,한글중급,2025,fall,7,1,7,10,3,80.0,1,0,5,8,2
20,한글입문,한글입문,2025,fall,9,1,5,10,2,80.0,1,0,1,12,0
21,한글입문,한글입문,2025,fall,9,1,5,10,1,80.0,1,9,1,12,0
22,한글입문,한글입문,2025,fall,9,1,5,10,3,80.0,1,0,1,12,0
23,한글동화,한글동화,2025,fall,12,1,5,10,1,80.0,1,0,1,12,7
24,한글동화,한글동화,2025,fall,12,1,5,10,2,80.0,1,0,1,12,7
25,한글동화,한글동화,2025,fall,12,1,5,10,3,80.0,1,0,1,12,7
26,한글고급,한글고급,2025,fall,10,1,5,10,1,80.0,1,0,1,12,3
27,한글고급,한글고급,2025,fall,10,1,5,10,2,80.0,1,0,1,12,3
28,한글고급,한글고급,2025,fall,10,1,5,10,3,80.0,1,0,1,12,3
29,한국역사문화,한국역사문화,2025,fall,13,1,5,10,1,80.0,1,0,1,12,8
30,한국역사문화,한국역사문화,2025,fall,13,1,5,10,2,80.0,1,0,1,12,8
31,한국역사문화,한국역사문화,2025,fall,13,1,5,10,3,80.0,1,0,1,12,8
32,K-Wave,K-Wave,2025,fall,28,1,5,10,1,80.0,0,6,1,12,10
33,K-Wave,K-Wave,2025,fall,28,1,5,10,2,80.0,0,0,1,12,10
34,K-Wave,K-Wave,2025,fall,28,1,5,10,3,80.0,0,0,1,12,10
35,저학년 미술_A반,저학년 미술_A반,2025,fall,20,1,5,10,1,80.0,0,11,1,12,20
36,저학년 미술_A반,저학년 미술_A반,2025,fall,20,1,5,10,2,80.0,0,0,1,12,20
37,저학년 미술_A반,저학년 미술_A반,2025,fall,20,1,5,10,3,80.0,0,0,1,12,20
38,저학년 미술_B반,저학년 미술_B반,2025,fall,21,1,5,10,1,80.0,0,0,1,12,20
39,저학년 미술_B반,저학년 미술_B반,2025,fall,21,1,5,10,2,80.0,0,8,1,12,20
40,저학년 미술_B반,저학년 미술_B반,2025,fall,21,1,5,10,3,80.0,0,1,1,12,20
41,고학년 미술_C반,고학년 미술_C반,2025,fall,22,4,12,10,1,80.0,0,6,1,12,20
42,고학년 미술_C반,고학년 미술_C반,2025,fall,22,4,12,10,2,80.0,0,0,1,12,20
43,고학년 미술_C반,고학년 미술_C반,2025,fall,22,12,5,10,3,80.0,0,0,1,12,20
44,서예서화반,서예서화반,2025,fall,14,1,12,10,1,80.0,1,0,1,12,9
45,서예서화반,서예서화반,2025,fall,14,1,12,10,2,80.0,1,0,1,12,9
46,서예서화반,서예서화반,2025,fall,14,1,12,10,3,80.0,1,0,1,12,9
47,과학실험,과학실험,2025,fall,30,1,4,10,3,80.0,0,12,1,12,14
48,과학실험,과학실험,2025,fall,30,4,7,10,1,80.0,0,0,1,12,14
49,과학실험,과학실험,2025,fall,30,4,7,10,2,80.0,0,0,1,12,14
50,바이올린,바이올린,2025,fall,23,1,5,10,1,80.0,0,0,1,12,30
51,바이올린,바이올린,2025,fall,23,1,5,10,2,80.0,0,0,1,12,30
52,바이올린,바이올린,2025,fall,23,1,5,10,3,80.0,0,3,1,12,30
53,클라리넷,클라리넷,2025,fall,24,1,5,10,1,80.0,0,0,1,12,31
54,클라리넷,클라리넷,2025,fall,24,1,5,10,2,80.0,0,0,1,12,31
55,클라리넷,클라리넷,2025,fall,24,1,5,10,3,80.0,0,0,1,12,31
56,플룻,플룻,2025,fall,25,1,5,10,1,80.0,0,0,1,12,32
57,플룻,플룻,2025,fall,25,1,5,10,2,80.0,0,0,1,12,32
58,플룻,플룻,2025,fall,25,1,5,10,3,80.0,0,0,1,12,32
59,수학,수학,2025,fall,17,1,5,10,1,80.0,0,0,1,12,11
60,수학,수학,2025,fall,17,1,5,10,2,80.0,0,0,1,12,11
61,수학,수학,2025,fall,17,1,5,10,3,80.0,0,4,1,12,11
62,오르다,오르다,2025,fall,19,1,5,10,1,80.0,0,0,1,12,15
63,오르다,오르다,2025,fall,19,1,5,10,2,80.0,0,0,1,12,15
64,오르다,오르다,2025,fall,19,1,5,10,3,80.0,0,0,1,12,15
65,인공지능,인공지능,2025,fall,16,1,12,10,1,80.0,0,0,1,12,17
66,인공지능,인공지능,2025,fall,16,1,12,10,2,80.0,0,0,1,12,17
67,인공지능,인공지능,2025,fall,16,1,12,10,3,80.0,0,0,1,12,17
68,탁구,탁구,2025,fall,27,1,12,10,1,80.0,0,0,1,12,18
69,탁구,탁구,2025,fall,27,1,12,10,2,80.0,0,0,1,12,18
70,탁구,탁구,2025,fall,27,1,5,10,3,80.0,0,0,1,12,18
71,고학년한글,고학년한글,2025,fall,11,5,12,10,3,80.0,1,0,1,12,6
138,유치부 SK반,유치부 SK반,2026,spring,6,-1,-1,15,1,80.0,1,0,1,12,99
139,유치부 JK반,유치부 JK반,2026,spring,3,-2,-2,21,2,80.0,1,0,1,12,99
140,유치부 JK반,유치부 JK반,2026,spring,3,-2,-2,21,3,80.0,1,0,1,12,99
141,유치부 JK반,유치부 JK반,2026,spring,3,-2,-2,21,1,80.0,1,0,1,12,100
142,유치부 SK반,유치부 SK반,2026,spring,6,-1,-1,15,2,80.0,1,0,1,12,100
143,유치부 SK반,유치부 SK반,2026,spring,6,-1,-1,15,3,80.0,1,0,1,12,100
144,한글초급,한글초급,2026,spring,8,1,6,10,1,80.0,1,0,4,4,1
145,한글초급,한글초급,2026,spring,8,1,6,10,2,80.0,1,0,5,5,1
146,한글초급,한글초급,2026,spring,8,1,6,10,3,80.0,1,0,6,6,1
147,한글초급집중반,한글초급집중반,2026,spring,11,1,4,8,1,80.0,1,0,1,4,5
148,한글초급집중반,한글초급집중반,2026,spring,11,1,4,8,2,80.0,1,0,1,4,5
149,한글중급,한글중급,2026,spring,7,1,7,10,1,80.0,1,0,7,7,2
150,한글중급,한글중급,2026,spring,7,1,7,10,2,80.0,1,0,8,8,2
151,한글중급,한글중급,2026,spring,7,1,7,10,3,80.0,1,0,9,9,2
152,한글입문,한글입문,2026,spring,9,1,6,10,2,80.0,1,0,1,2,0
153,한글입문,한글입문,2026,spring,9,1,6,10,1,80.0,1,0,1,2,0
154,한글입문,한글입문,2026,spring,9,1,6,10,3,80.0,1,0,3,3,0
155,한글동화,한글동화,2026,spring,12,1,4,6,1,80.0,1,0,1,6,7
156,한글동화,한글동화,2026,spring,12,1,4,8,2,80.0,1,0,7,11,7
157,한글동화,한글동화,2026,spring,12,1,4,6,3,80.0,1,0,1,6,7
158,한글고급,한글고급,2026,spring,10,1,10,10,1,80.0,1,0,10,10,3
159,한글고급,한글고급,2026,spring,10,1,10,10,2,80.0,1,0,11,11,3
160,한글고급,한글고급,2026,spring,10,1,10,10,3,80.0,1,0,12,12,3
161,한국역사문화,한국역사문화,2026,spring,13,2,4,10,1,80.0,1,0,1,12,8
162,한국역사문화,한국역사문화,2026,spring,13,5,6,10,2,80.0,1,0,1,12,8
163,한국역사문화,한국역사문화,2026,spring,13,6,12,10,3,80.0,1,0,1,12,8
164,K-Wave,K-Wave,2026,spring,28,5,12,10,1,80.0,0,0,4,12,10
165,K-Wave,K-Wave,2026,spring,28,1,4,10,2,80.0,0,0,4,12,10
166,K-Wave,K-Wave,2026,spring,28,1,4,10,3,80.0,0,0,4,12,10
167,저학년 미술_A반,저학년 미술_A반,2026,spring,20,1,2,12,1,100.0,0,0,1,12,20
168,저학년 미술_A반,저학년 미술_A반,2026,spring,20,1,2,12,2,100.0,0,0,1,12,20
169,저학년 미술_A반,저학년 미술_A반,2026,spring,20,1,2,12,3,100.0,0,0,1,12,20
170,저학년 미술_B반,저학년 미술_B반,2026,spring,21,3,4,10,1,100.0,0,0,1,12,20
171,저학년 미술_B반,저학년 미술_B반,2026,spring,21,3,4,10,2,100.0,0,0,1,12,20
172,저학년 미술_B반,저학년 미술_B반,2026,spring,21,3,4,10,3,100.0,0,0,1,12,20
173,고학년 미술_C반,고학년 미술_C반,2026,spring,22,5,12,10,1,100.0,0,0,1,12,20
174,고학년 미술_C반,고학년 미술_C반,2026,spring,22,5,12,10,2,100.0,0,0,1,12,20
175,고학년 미술_C반,고학년 미술_C반,2026,spring,22,5,12,10,3,100.0,0,0,1,12,20
176,서예서화반,서예서화반,2026,spring,14,3,12,10,1,90.0,1,0,1,12,9
177,서예서화반,서예서화반,2026,spring,14,3,12,10,2,90.0,1,0,1,12,9
178,서예서화반,서예서화반,2026,spring,14,3,12,10,3,90.0,1,0,1,12,9
179,과학실험,과학실험,2026,spring,30,1,4,10,3,80.0,0,0,1,12,14
180,과학실험,과학실험,2026,spring,30,4,6,10,1,80.0,0,0,1,12,14
181,과학실험,과학실험,2026,spring,30,4,6,10,2,80.0,0,0,1,12,14
182,바이올린,바이올린,2026,spring,23,1,12,4,1,100.0,0,0,1,12,30
183,바이올린,바이올린,2026,spring,23,1,12,4,2,100.0,0,0,1,12,30
184,바이올린,바이올린,2026,spring,23,1,12,4,3,100.0,0,0,1,12,30
185,클라리넷,클라리넷,2026,spring,24,4,12,4,1,100.0,0,0,1,12,31
186,클라리넷,클라리넷,2026,spring,24,4,12,4,2,100.0,0,0,1,12,31
187,클라리넷,클라리넷,2026,spring,24,4,12,4,3,100.0,0,0,1,12,31
188,플룻,플룻,2026,spring,25,1,12,4,1,100.0,0,0,1,12,32
189,플룻,플룻,2026,spring,25,1,12,4,2,100.0,0,0,1,12,32
190,플룻,플룻,2026,spring,25,1,12,4,3,100.0,0,0,1,12,32
191,수학,수학,2026,spring,17,5,6,10,1,80.0,0,0,1,12,11
192,수학,수학,2026,spring,17,7,12,10,2,80.0,0,0,1,12,11
193,수학,수학,2026,spring,17,3,4,10,3,80.0,0,0,1,12,11
194,오르다,오르다,2026,spring,19,1,3,8,1,100.0,0,0,1,12,15
195,오르다,오르다,2026,spring,19,1,3,8,2,100.0,0,0,1,12,15
196,오르다,오르다,2026,spring,19,1,3,8,3,100.0,0,0,1,12,15
197,인공지능,인공지능,2026,spring,16,5,12,6,1,90.0,0,0,1,12,17
198,인공지능,인공지능,2026,spring,16,5,12,6,2,90.0,0,0,1,12,17
199,인공지능,인공지능,2026,spring,16,4,5,6,3,90.0,0,0,1,12,17
200,탁구,탁구,2026,spring,27,1,12,10,1,90.0,0,0,1,12,18
201,탁구,탁구,2026,spring,27,1,12,10,2,90.0,0,0,1,12,18
202,탁구,탁구,2026,spring,27,1,5,10,3,90.0,0,0,1,12,18
203,고학년한글,고학년한글,2026,spring,11,5,12,10,3,80.0,1,0,1,7,6
